unixtime  Probe1(bottom) #2   #3  #4  #5   #6(top)
1489799838.17  16.312  16.062  16.062  15.875  15.125  14.562 
1489799898.18  16.312  16.062  16.062  15.875  15.125  14.562 
1489799958.19  16.312  16.062  16.125  15.875  15.125  14.562 
1489800018.2  16.312  16.062  16.062  15.875  15.125  14.562 
1489800078.21  16.312  16.062  16.062  15.875  15.125  14.562 
1489800138.21  16.312  16.0  16.062  15.875  15.062  14.5 
1489800198.22  16.312  16.0  16.062  15.812  15.062  14.5 
1489800258.23  16.312  16.0  16.062  15.812  15.062  14.5 
1489800318.23  16.312  16.062  16.062  15.875  15.125  14.5 
1489800378.23  16.312  16.062  16.062  15.875  15.125  14.5 
1489800438.24  16.312  16.0  16.062  15.812  15.062  14.5 
1489800498.25  16.312  16.062  16.062  15.875  15.062  14.5 
1489800558.25  16.312  16.062  16.125  15.875  15.125  14.5 
1489800618.26  16.312  16.062  16.062  15.875  15.125  14.5 
1489800678.27  16.312  16.062  16.062  15.875  15.062  14.5 
1489800738.27  16.312  16.0  16.062  15.812  15.062  14.5 
1489800798.28  16.312  16.0  16.062  15.812  15.062  14.5 
1489800858.29  16.312  16.0  16.062  15.812  15.0  14.437 
1489800918.3  16.312  16.062  16.062  15.812  15.062  14.437 
1489800978.3  16.312  16.0  16.062  15.812  15.0  14.437 
1489801038.3  16.312  16.062  16.062  15.812  15.062  14.5 
1489801098.3  16.312  16.062  16.062  15.812  15.062  14.5 
1489801158.3  16.312  16.0  16.062  15.812  15.0  14.5 
1489801218.31  16.312  16.0  16.0  15.812  15.0  14.5 
1489801278.31  16.25  16.0  16.0  15.812  15.0  14.437 
1489801338.32  16.25  16.0  16.062  15.812  15.0  14.5 
1489801398.32  16.25  16.062  16.062  15.812  15.062  14.5 
1489801458.32  16.312  16.062  16.062  15.812  15.125  14.5 
1489801518.33  16.312  16.062  16.062  15.812  15.125  14.5 
1489801578.34  16.312  16.062  16.062  15.812  15.125  14.562 
1489801638.34  16.312  16.125  16.062  15.875  15.125  14.562 
1489801698.35  16.312  16.125  16.125  15.875  15.125  14.562 
1489801758.36  16.312  16.062  16.062  15.875  15.125  14.562 
1489801818.37  16.312  16.062  16.062  15.875  15.187  14.562 
1489801878.37  16.312  16.062  16.062  15.875  15.125  14.5 
1489801938.38  16.312  16.062  16.062  15.875  15.125  14.5 
1489801998.38  16.312  16.062  16.062  15.875  15.125  14.5 
1489802058.39  16.312  16.062  16.062  15.875  15.125  14.562 
1489802118.4  16.312  16.125  16.062  15.875  15.187  14.562 
1489802178.4  16.375  16.125  16.125  15.875  15.187  14.562 
1489802238.41  16.375  16.125  16.125  15.875  15.125  14.5 
1489802298.42  16.312  16.062  16.062  15.875  15.125  14.5 
1489802358.43  16.312  16.062  16.062  15.875  15.062  14.5 
1489802418.43  16.312  16.062  16.062  15.875  15.125  14.5 
1489802478.44  16.312  16.062  16.062  15.875  15.062  14.5 
1489802538.45  16.312  16.062  16.062  15.812  15.125  14.5 
1489802598.46  16.312  16.062  16.062  15.875  15.125  14.562 
1489802658.46  16.312  16.062  16.062  15.875  15.125  14.562 
1489802718.47  16.312  16.062  16.125  15.875  15.125  14.562 
1489802778.47  16.312  16.125  16.062  15.875  15.125  14.5 
1489802838.47  16.312  16.062  16.062  15.875  15.125  14.5 
1489802898.48  16.312  16.062  16.125  15.875  15.125  14.562 
1489802958.49  16.312  16.125  16.125  15.875  15.125  14.562 
1489803018.49  16.312  16.062  16.125  15.875  15.125  14.562 
1489803078.5  16.312  16.062  16.125  15.875  15.062  14.5 
1489803138.5  16.312  16.062  16.062  15.875  15.125  14.562 
1489803198.51  16.312  16.062  16.062  15.875  15.125  14.5 
1489803258.52  16.312  16.062  16.125  15.875  15.187  14.562 
1489803318.52  16.312  16.062  16.125  15.875  15.187  14.562 
1489803378.52  16.312  16.062  16.062  15.875  15.125  14.562 
1489803438.53  16.312  16.062  16.062  15.875  15.125  14.562 
1489803498.53  16.312  16.062  16.062  15.875  15.125  14.562 
1489803558.54  16.312  16.062  16.062  15.875  15.125  14.562 
1489803618.55  16.312  16.062  16.062  15.875  15.125  14.5 
1489803678.55  16.312  16.062  16.062  15.875  15.125  14.5 
1489803738.56  16.312  16.062  16.062  15.875  15.125  14.5 
1489803798.57  16.312  16.0  16.062  15.812  15.125  14.5 
1489803858.57  16.25  16.0  16.062  15.812  15.062  14.5 
1489803918.57  16.25  16.0  16.062  15.812  15.062  14.5 
1489803978.58  16.25  16.0  16.062  15.812  15.062  14.5 
1489804038.59  16.25  16.0  16.0  15.812  15.062  14.5 
1489804098.6  16.25  16.0  16.0  15.812  15.062  14.5 
1489804158.6  16.25  16.0  16.0  15.812  15.0  14.5 
1489804218.6  16.25  16.0  16.0  15.812  15.0  14.5 
1489804278.61  16.25  16.0  16.0  15.75  15.0  14.5 
1489804338.62  16.25  16.0  16.0  15.812  15.0  14.5 
1489804398.63  16.25  16.0  16.0  15.812  15.0  14.5 
1489804458.64  16.25  16.0  16.0  15.75  15.062  14.5 
1489804518.65  16.25  16.0  16.0  15.75  15.0  14.5 
1489804578.65  16.25  16.0  16.0  15.75  15.062  14.5 
1489804638.66  16.25  16.0  16.0  15.75  15.062  14.5 
1489804698.67  16.25  16.0  16.0  15.75  15.0  14.5 
